conta_custo
1 de janeiro de 2026 - 21 de setembro de 2026
Dia,Tipo de campanha,Impr.,Código da moeda,Custo,Cliques,CTR,CPC méd.
2026-01-01,Pesquisa,183,BRL,"10,20",12,"6,56%","0,85"
2026-01-01,Performance Max,5.579,BRL,"41,41",381,"6,83%","0,11"
2026-01-02,Pesquisa,227,BRL,"10,77",19,"8,37%","0,57"
2026-01-02,Performance Max,1.197,BRL,"36,73",90,"7,52%","0,41"
2026-01-03,Pesquisa,242,BRL,"10,42",18,"7,44%","0,58"
2026-01-03,Performance Max,291,BRL,"3,80",28,"9,62%","0,14"
2026-01-04,Pesquisa,143,BRL,"9,99",19,"13,29%","0,53"
2026-01-04,Performance Max,3.383,BRL,"29,15",222,"6,56%","0,13"
2026-01-05,Pesquisa,186,BRL,"7,64",14,"7,53%","0,55"
2026-01-05,Performance Max,4.095,BRL,"53,42",227,"5,54%","0,24"
2026-01-06,Pesquisa,245,BRL,"7,20",13,"5,31%","0,55"
2026-01-06,Performance Max,395,BRL,"25,64",20,"5,06%","1,28"
2026-01-07,Pesquisa,256,BRL,"11,72",21,"8,20%","0,56"
2026-01-07,Performance Max,266,BRL,"1,92",15,"5,64%","0,13"
2026-01-08,Pesquisa,197,BRL,"12,05",22,"11,17%","0,55"
2026-01-08,Performance Max,1.490,BRL,"36,76",97,"6,51%","0,38"
2026-01-09,Pesquisa,171,BRL,"6,21",12,"7,02%","0,52"
2026-01-09,Performance Max,878,BRL,"28,96",75,"8,54%","0,39"
2026-01-10,Pesquisa,272,BRL,"10,14",18,"6,62%","0,56"
2026-01-10,Performance Max,636,BRL,"14,21",81,"12,74%","0,18"
2026-01-11,Pesquisa,368,BRL,"20,16",30,"8,15%","0,67"
2026-01-11,Performance Max,3.335,BRL,"53,87",226,"6,78%","0,24"
2026-01-12,Pesquisa,239,BRL,"8,44",16,"6,69%","0,53"
2026-01-12,Performance Max,2.728,BRL,"44,08",95,"3,48%","0,46"
2026-01-13,Pesquisa,134,BRL,"8,76",16,"11,94%","0,55"
2026-01-13,Performance Max,2,BRL,"0,00",0,"0,00%",0
2026-01-14,Pesquisa,199,BRL,"7,05",13,"6,53%","0,54"
2026-01-14,Performance Max,37,BRL,"0,28",2,"5,41%","0,14"
2026-01-15,Pesquisa,236,BRL,"8,83",16,"6,78%","0,55"
2026-01-15,Performance Max,3.018,BRL,"33,89",251,"8,32%","0,14"
2026-01-16,Pesquisa,248,BRL,"9,47",16,"6,45%","0,59"
2026-01-16,Performance Max,3.754,BRL,"46,73",264,"7,03%","0,18"
2026-01-17,Pesquisa,257,BRL,"10,77",19,"7,39%","0,57"
2026-01-17,Performance Max,4.907,BRL,"58,34",296,"6,03%","0,20"
2026-01-18,Pesquisa,255,BRL,"13,40",23,"9,02%","0,58"
2026-01-18,Performance Max,354,BRL,"30,73",11,"3,11%","2,79"
2026-01-19,Pesquisa,208,BRL,"8,90",18,"8,65%","0,49"
2026-01-19,Performance Max,45,BRL,"0,20",3,"6,67%","0,07"
2026-01-20,Pesquisa,167,BRL,"9,08",17,"10,18%","0,53"
2026-01-20,Performance Max,4.261,BRL,"40,28",198,"4,65%","0,20"
2026-01-21,Pesquisa,218,BRL,"7,35",13,"5,96%","0,57"
2026-01-21,Performance Max,1.246,BRL,"38,81",71,"5,70%","0,55"
2026-01-22,Pesquisa,225,BRL,"9,40",19,"8,44%","0,49"
2026-01-22,Performance Max,1.496,BRL,"23,94",80,"5,35%","0,30"
2026-01-23,Pesquisa,282,BRL,"9,74",18,"6,38%","0,54"
2026-01-23,Performance Max,2.550,BRL,"26,70",95,"3,73%","0,28"
2026-01-24,Pesquisa,263,BRL,"9,27",15,"5,70%","0,62"
2026-01-24,Performance Max,1.808,BRL,"15,90",59,"3,26%","0,27"
2026-01-25,Pesquisa,219,BRL,"13,17",22,"10,05%","0,60"
2026-01-25,Performance Max,3.874,BRL,"28,74",144,"3,72%","0,20"
2026-01-26,Pesquisa,195,BRL,"9,11",16,"8,21%","0,57"
2026-01-26,Performance Max,2.665,BRL,"30,54",173,"6,49%","0,18"
2026-01-27,Pesquisa,185,BRL,"5,98",10,"5,41%","0,60"
2026-01-27,Performance Max,5.652,BRL,"38,48",309,"5,47%","0,12"
2026-01-28,Pesquisa,162,BRL,"6,14",10,"6,17%","0,61"
2026-01-28,Performance Max,5.547,BRL,"24,41",303,"5,46%","0,08"
2026-01-29,Pesquisa,252,BRL,"14,88",22,"8,73%","0,68"
2026-01-29,Performance Max,3.763,BRL,"27,15",264,"7,02%","0,10"
2026-01-30,Pesquisa,159,BRL,"9,82",17,"10,69%","0,58"
2026-01-30,Performance Max,4.210,BRL,"35,93",268,"6,37%","0,13"
2026-01-31,Pesquisa,136,BRL,"8,13",14,"10,29%","0,58"
2026-01-31,Performance Max,5.279,BRL,"41,80",350,"6,63%","0,12"
